Path,File,E_Tot,E_Ref,E_Corr,E_SS,E_OS
./opt-HBIL-structures/srs-mp2-mim/,mim-mSO3-p2-opt-frag1.out,[H],-661.8579573820754831,-1.0888271800039806,-0.2848044389718425,-0.8040227410320843
./opt-HBIL-structures/srs-mp2-mim/,mim-NO3-p1-opt-frag0.out,[H],-264.3172023115444631,-1.0471306509255585,-0.2596301510886312,-0.7875004998366151
./opt-HBIL-structures/srs-mp2-mim/,mim-NO3-p1-opt-all.out,[H],-543.5105271395121918,-1.9840794787547584,-0.5179999335948594,-1.4660795451582460
./opt-HBIL-structures/srs-mp2-mim/,mim-NO3-p2-opt-frag0.out,[H],-264.3264184099667773,-1.0441101221839633,-0.2587440904713357,-0.7853660317122859
./opt-HBIL-structures/srs-mp2-mim/,mim-NO3-p2-opt-frag1.out,[H],-279.0268268782106134,-0.9205829465558608,-0.2506355129990733,-0.6699474335567712
./opt-HBIL-structures/srs-mp2-mim/,mim-NO3-p1-opt-frag1.out,[H],-279.0259504254124749,-0.9199954043383232,-0.2504610118342269,-0.6695343925036736
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p1-opt-all.out,[H],-788.5066868390548507,-2.5772541291138631,-0.6724944587311613,-1.9047596703769358
./opt-HBIL-structures/srs-mp2-mim/,mim-NO3-p2-opt-all.out,[H],-543.4878018203370402,-1.9846619705123865,-0.5180900141852776,-1.4665719563260469
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p1-opt-frag1.out,[H],-524.0354350624922972,-1.5253777441197636,-0.4097951684949799,-1.1155825756238098
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p2-opt-all.out,[H],-788.4648273810304318,-2.5768329984262244,-0.6718238442200588,-1.9050091541999006
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p2-opt-frag0.out,[H],-264.3268024411486294,-1.0441034178879485,-0.2587053198939560,-0.7853980979936862
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p2-opt-frag1.out,[H],-524.0355947405366805,-1.5256051024485469,-0.4097959313912956,-1.1158091710564118
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p3-opt-all.out,[H],-788.4737836716234369,-2.5825593954892390,-0.6742691939630280,-1.9082902015221235
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p3-opt-frag0.out,[H],-264.3261382393637859,-1.0445016198033270,-0.2588142223490226,-0.7856873974539815
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p3-opt-frag1.out,[H],-524.0353707407508637,-1.5256199622048117,-0.4098040707319896,-1.1158158914724128
./opt-HBIL-structures/srs-mp2-mim/,mim-TFA-p1-opt-frag0.out,[H],-264.3252815030051579,-1.0449404984281438,-0.2589449210956037,-0.7859955773321871
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-mOSO3-p1-opt-all.out,[H],-987.5569488296964664,-2.4087846068276502,-0.5987944446902143,-1.8099901621348362
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-mOSO3-p1-opt-frag0.out,[H],-250.6478732800117655,-1.0682221717659435,-0.2417160195104389,-0.8265061522549835
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-mOSO3-p1-opt-frag1.out,[H],-736.7504637661663764,-1.3207183191387322,-0.3475715192183004,-0.9731467999202208
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-NO3-p1-opt-all.out,[H],-529.8406917478031346,-2.0111084021676264,-0.5023365867029539,-1.5087718154630936
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-mSO3-p1-opt-all.out,[H],-912.6740905451396202,-2.1781592005552088,-0.5368450042309851,-1.6413141963229925
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-mSO3-p1-opt-frag0.out,[H],-250.6472988986620862,-1.0680503027919519,-0.2416264025664711,-0.8264239002252907
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-CF3SO3-p1-opt-frag1.out,[H],-958.5553317350254474,-1.8075821231435123,-0.4892825467484191,-1.3182995763949352
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-CF3SO3-p1-opt-frag0.out,[H],-250.6498408659392680,-1.0672749774871630,-0.2413570597857972,-0.8259179177011519
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-NO3-p1-opt-frag1.out,[H],-279.0259686417180092,-0.9201375529515859,-0.2504994430932139,-0.6696381098579112
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-NO3-p1-opt-frag0.out,[H],-250.6472966398702624,-1.0680673502899640,-0.2416541018129590,-0.8264132484766759
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-Cl-p1-opt-all.out,[H],-710.3877335438862701,-1.2837011301078673,-0.2995344663246154,-0.9841666637831250
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-TFA-p1-opt-frag0.out,[H],-250.6462761965594268,-1.0683522136322532,-0.2417671507570089,-0.8265850628751077
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-TFA-p1-opt-all.out,[H],-774.8405110574866512,-2.6161539932190214,-0.6619274407622706,-1.9542265524547522
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-TFA-p1-opt-frag1.out,[H],-524.0338866012896233,-1.5255180982214900,-0.4098213057456061,-1.1156967924750285
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-mSO3-p1-opt-frag1.out,[H],-661.8561122947035074,-1.0891244451013948,-0.2849066673368181,-0.8042177777645151
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-CF3SO3-p1-opt-all.out,[H],-1209.3523234426374984,-2.8956409762845392,-0.7403975990378592,-2.1552433772446986
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-Cl-p1-opt-frag0.out,[H],-250.6471336234511114,-1.0681439846902072,-0.2416687181379339,-0.8264752665517864
./opt-HBIL-structures/srs-mp2-mpyr/,mpyr-Cl-p1-opt-frag1.out,[H],-459.5646668064249525,-0.1969193331896238,-0.0493668449821803,-0.1475524882074436
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-CF3SO3-p1-opt-frag0.out,[H],-251.8090253705799455,-1.1015515933716307,-0.2421861818325524,-0.8593654115388888
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-CF3SO3-p1-opt-frag1.out,[H],-958.5564555264452338,-1.8073830218879767,-0.4891871748110790,-1.3181958470762372
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-CF3SO3-p1-opt-all.out,[H],-1210.4897233941128434,-2.9239054953051284,-0.7380792262787560,-2.1858262690256156
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-Cl-p1-opt-all.out,[H],-711.5163768514588583,-1.3111601101926287,-0.2973320299420473,-1.0138280802500170
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-mOSO3-p1-opt-all.out,[H],-988.6929874289304507,-2.4372645339776802,-0.5965568822223676,-1.8407076517544083
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-Cl-p1-opt-frag0.out,[H],-251.8082955837826944,-1.1018612801349563,-0.2423074391876698,-0.8595538409471022
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-Cl-p1-opt-frag1.out,[H],-459.5646668064197229,-0.1969193331896203,-0.0493668449821792,-0.1475524882074411
